Nama Sekolah,Alamat,Daerah,Kota,Jenis Sekolah,Tipe Sekolah,Kurikulum,Anggaran SPP (Rp),Biaya Masuk (Rp),Bahasa Pengantar,Akreditasi,Fasilitas,Ekskul,Pendidikan Agama,Prestasi,Transportasi,No Telepon,content,score,Website
SD Bintang Timur 228,Jl. Sudirman No.25,Taman Sari,Jakarta Barat,SD,Nasional,Kurikulum 2013,1698115,17189792,Jepang,C,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Budha,Juara 1 OSN,Antar Jemput Pribadi,021-1234567,"denpasar dki jakarta tk nasional c lab komputer, perpustakaan, lapangan futsal, tari, robotik budha 1698115 17189792",0.091376694,www.sdbintangtimur228.sch.id
SD Bintang Timur 169,Jl. Mawar No.2,Johar Baru,Jakarta Pusat,SD,Nasional Plus,Kurikulum 2013,268177,3032083,Bahasa Indonesia,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Budha,Olimpiade Matematika,Bus Sekolah,0274-998877,"surabaya jawa barat tk nasional plus c kolam renang, aula futsal, tari, robotik budha 268177 3032083",0,www.sdbintangtimur169.sch.id
SD Bintang Timur 6,Jl. Raya Ujung,Tambora,Jakarta Barat,SD,Nasional Plus,IB,1429479,18097421,Bahasa Inggris,B,"Kolam Renang, Aula","Futsal, Tari, Robotik",Tidak Ada,Olimpiade Matematika,Antar Jemput Pribadi,0274-998877,"jakarta selatan jawa barat sd nasional plus b kolam renang, aula futsal, tari, robotik tidak ada 1429479 18097421",0.015104109,www.sdbintangtimur6.sch.id
SD Bintang Timur 170,Jl. Raya Ujung,Menteng,Jakarta Pusat,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Islam,Lomba Tari Provinsi,Bus Sekolah,0274-998877,"bandung jawa timur sd negeri c kolam renang, aula futsal, tari, robotik islam 2044154 17347694",0.029578258,www.sdbintangtimur170.sch.id
SMA Nusantara 2,Jl. Sudirman No.25,Tambora,Jakarta Barat,SMA,Internasional,IB,2633482,10990687,Mandarin,B,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Kristen,Debat Nasional,Bus Sekolah,022-7654321,"bandung di yogyakarta sd internasional b lab komputer, perpustakaan, lapangan basket, pramuka, musik kristen 2633482 10990687",0.083746,www.smanusantara2.sch.id
TK Ceria 287,Jl. Sudirman No.25,Kelapa Dua,Jakarta Barat,TK,Internasional,Cambridge,1744523,757168,Bahasa Inggris,B,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Katolik,Olimpiade Matematika,Bus Sekolah,031-8765432,"surabaya jawa barat sd internasional b ruang musik, ruang seni pencak silat, kir katolik 1744523 757168",0,www.tkceria287.sch.id
SMP Pelita Ilmu 267,Jl. Merdeka No.10,Cempaka Putih,Jakarta Pusat,SMP,Nasional,Cambridge,1634192,3876039,Jepang,C,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Hindu,Lomba Tari Provinsi,Bus Sekolah,021-1234567,"surabaya bali tk nasional c lab komputer, perpustakaan, lapangan futsal, tari, robotik hindu 1634192 3876039",0.050829968,www.smppelitailmu267.sch.id
TK Ceria 208,Jl. Gatot Subroto No.15,Grogol Petamburan,Jakarta Barat,TK,Internasional,IB,2977909,11975420,Mandarin,A,"Kolam Renang, Aula","Pencak Silat, KIR",Hindu,Juara 1 OSN,Bus Sekolah,0274-998877,"yogyakarta jawa timur sma internasional a kolam renang, aula pencak silat, kir hindu 2977909 11975420",0.021634475,www.tkceria208.sch.id
SD Bintang Timur 18,Jl. Mawar No.2,Cilincing,Jakarta Utara,SD,Nasional,Kurikulum Merdeka,641915,11831309,Mandarin,A,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Katolik,Olimpiade Matematika,Bus Sekolah,022-7654321,"yogyakarta di yogyakarta sma nasional a lab komputer, perpustakaan, lapangan basket, pramuka, musik katolik 641915 11831309",0.104303304,www.sdbintangtimur18.sch.id
SD Bintang Timur 210,Jl. Gatot Subroto No.15,Cipayung,Jakarta Timur,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,A,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Islam,Lomba Tari Provinsi,Tidak Ada,031-8765432,"surabaya jawa barat smp negeri a ruang musik, ruang seni pencak silat, kir islam 2071651 11960337",0.02877505,www.sdbintangtimur210.sch.id
SMA Nusantara 253,Jl. Mawar No.2,Pantai Indah Kapuk,Jakarta Utara,SMA,Internasional,Cambridge,2977580,10654668,Mandarin,C,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Tidak Ada,Olimpiade Matematika,Tidak Ada,0274-998877,"yogyakarta jawa barat sma internasional c lab komputer, perpustakaan, lapangan basket, pramuka, musik tidak ada 2977580 10654668",0.103963105,www.smanusantara253.sch.id
SMP Pelita Ilmu 168,Jl. Mawar No.2,Pesanggrahan,Jakarta Selatan,SMP,Nasional,Kurikulum 2013,2214985,1932404,Jepang,B,"Kolam Renang, Aula","Basket, Pramuka, Musik",Hindu,Juara 1 OSN,Bus Sekolah,031-8765432,"jakarta selatan dki jakarta sma nasional b kolam renang, aula basket, pramuka, musik hindu 2214985 1932404",0.109998035,www.smppelitailmu168.sch.id
SD Bintang Timur 154,Jl. Mawar No.2,Pasar Rebo,Jakarta Timur,SD,Nasional Plus,Cambridge,801925,6618658,Bahasa Indonesia,A,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Juara 1 OSN,Antar Jemput Pribadi,0361-556677,"denpasar jawa timur sma nasional plus a lab komputer, perpustakaan, lapangan pencak silat, kir islam 801925 6618658",0.099676508,www.sdbintangtimur154.sch.id
SMP Pelita Ilmu 274,Jl. Raya Ujung,Penjaringan,Jakarta Utara,SMP,Nasional,Kurikulum Merdeka,1654317,14455868,Jepang,C,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Budha,Olimpiade Matematika,Tidak Ada,0274-998877,"bandung dki jakarta sma nasional c ruang musik, ruang seni futsal, tari, robotik budha 1654317 14455868",0.061317862,www.smppelitailmu274.sch.id
Sekolah Harapan Bangsa 285,Jl. Mawar No.2,Cempaka Putih,Jakarta Pusat,SMA,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,A,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Islam,Olimpiade Matematika,Bus Sekolah,021-1234567,"surabaya di yogyakarta smp negeri a lab komputer, perpustakaan, lapangan basket, pramuka, musik budha 2873053 3266241",0.083739804,www.sekolahharapanbangsa285.sch.id
SD Bintang Timur 141,Jl. Merdeka No.10,Cilandak,Jakarta Selatan,SD,Nasional,Kurikulum Merdeka,2695921,18207993,Bahasa Indonesia,B,"Kolam Renang, Aula","Basket, Pramuka, Musik",Budha,Lomba Tari Provinsi,Antar Jemput Pribadi,0274-998877,"denpasar dki jakarta sma nasional b kolam renang, aula basket, pramuka, musik budha 2695921 18207993",0.097846539,www.sdbintangtimur141.sch.id
Sekolah Harapan Bangsa 24,Jl. Merdeka No.10,Sawah Besar,Jakarta Pusat,TK,Nasional Plus,Cambridge,395458,2150720,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Budha,Debat Nasional,Antar Jemput Pribadi,021-1234567,"yogyakarta di yogyakarta tk nasional plus b lab komputer, perpustakaan, lapangan basket, pramuka, musik budha 395458 2150720",0.081862415,www.sekolahharapanbangsa24.sch.id
Sekolah Harapan Bangsa 217,Jl. Mawar No.2,Kemayoran,Jakarta Pusat,SD,Nasional Plus,IB,559239,1894171,Bahasa Indonesia,A,"Kolam Renang, Aula","Pencak Silat, KIR",Budha,Debat Nasional,Bus Sekolah,0361-556677,"jakarta selatan jawa barat sma nasional plus a kolam renang, aula pencak silat, kir budha 559239 1894171",0.036504717,www.sekolahharapanbangsa217.sch.id
SMA Nusantara 274,Jl. Merdeka No.10,Pantai Indah Kapuk,Jakarta Utara,SMA,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Islam,Juara 1 OSN,Tidak Ada,0361-556677,"yogyakarta jawa barat sd negeri b lab komputer, perpustakaan, lapangan futsal, tari, robotik kristen 1025330 1943394",0.050351614,www.smanusantara274.sch.id
Sekolah Harapan Bangsa 86,Jl. Sudirman No.25,Setiabudi,Jakarta Selatan,SD,Nasional,IB,1430014,12275076,Mandarin,C,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Tidak Ada,Juara 1 OSN,Antar Jemput Pribadi,021-1234567,"surabaya bali sd nasional c lab komputer, perpustakaan, lapangan pencak silat, kir tidak ada 1430014 12275076",0.049872808,www.sekolahharapanbangsa86.sch.id
SMA Nusantara 180,Jl. Raya Ujung,Cengkareng,Jakarta Barat,SMA,Nasional Plus,Cambridge,2855452,12559515,Jepang,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Budha,Olimpiade Matematika,Antar Jemput Pribadi,0274-998877,"bandung di yogyakarta sd nasional plus c kolam renang, aula futsal, tari, robotik budha 2855452 12559515",0,www.smanusantara180.sch.id
SD Bintang Timur 76,Jl. Sudirman No.25,Cengkareng,Jakarta Barat,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,A,"Kolam Renang, Aula","Pencak Silat, KIR",Islam,Olimpiade Matematika,Antar Jemput Pribadi,021-1234567,"yogyakarta jawa timur smp negeri a kolam renang, aula pencak silat, kir katolik 280880 2984413",0,www.sdbintangtimur76.sch.id
SMP Pelita Ilmu 91,Jl. Raya Ujung,Pulo Gadung,Jakarta Timur,SMP,Nasional Plus,IB,2042982,9204347,Mandarin,B,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Islam,Juara 1 OSN,Bus Sekolah,022-7654321,"yogyakarta bali tk nasional plus b lab komputer, perpustakaan, lapangan futsal, tari, robotik islam 2042982 9204347",0.079966029,www.smppelitailmu91.sch.id
Sekolah Harapan Bangsa 240,Jl. Sudirman No.25,Duren Sawit,Jakarta Timur,SMA,Nasional Plus,IB,1788733,5140779,Mandarin,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Kristen,Debat Nasional,Tidak Ada,031-8765432,"yogyakarta dki jakarta sd nasional plus b lab komputer, perpustakaan, lapangan pencak silat, kir kristen 1788733 5140779",0.090689787,www.sekolahharapanbangsa240.sch.id
Sekolah Harapan Bangsa 43,Jl. Gatot Subroto No.15,Kebayoran Lama,Jakarta Selatan,SMA,Nasional,Kurikulum 2013,2827484,16226420,Mandarin,A,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Kristen,Juara 1 OSN,Tidak Ada,0361-556677,"yogyakarta di yogyakarta sma nasional a ruang musik, ruang seni futsal, tari, robotik kristen 2827484 16226420",0.020667143,www.sekolahharapanbangsa43.sch.id
Sekolah Harapan Bangsa 224,Jl. Gatot Subroto No.15,Senen,Jakarta Pusat,TK,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,B,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Islam,Debat Nasional,Bus Sekolah,0361-556677,"jakarta selatan bali sma negeri b ruang musik, ruang seni futsal, tari, robotik budha 866193 3316937",0.036085727,www.sekolahharapanbangsa224.sch.id
SD Bintang Timur 150,Jl. Gatot Subroto No.15,Taman Sari,Jakarta Barat,SD,Nasional,Kurikulum Merdeka,691945,1919167,Jepang,B,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Islam,Olimpiade Matematika,Antar Jemput Pribadi,0361-556677,"jakarta selatan dki jakarta sma nasional b ruang musik, ruang seni futsal, tari, robotik islam 691945 1919167",0.102453737,www.sdbintangtimur150.sch.id
Sekolah Harapan Bangsa 220,Jl. Raya Ujung,Grogol Petamburan,Jakarta Barat,SMP,Nasional,Kurikulum 2013,1410547,19346724,Bahasa Indonesia,C,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Hindu,Olimpiade Matematika,Antar Jemput Pribadi,031-8765432,"jakarta selatan jawa barat sd nasional c ruang musik, ruang seni futsal, tari, robotik hindu 1410547 19346724",0.015186081,www.sekolahharapanbangsa220.sch.id
SD Bintang Timur 71,Jl. Sudirman No.25,Pesanggrahan,Jakarta Selatan,SD,Internasional,Cambridge,2207639,4101441,Bahasa Inggris,C,"Kolam Renang, Aula","Basket, Pramuka, Musik",Islam,Olimpiade Matematika,Bus Sekolah,021-1234567,"surabaya di yogyakarta sma internasional c kolam renang, aula basket, pramuka, musik islam 2207639 4101441",0.085364151,www.sdbintangtimur71.sch.id
SMA Nusantara 143,Jl. Gatot Subroto No.15,Cengkareng,Jakarta Barat,SMA,Nasional Plus,IB,968170,7666964,Bahasa Indonesia,A,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Katolik,Lomba Tari Provinsi,Bus Sekolah,021-1234567,"bandung jawa barat tk nasional plus a lab komputer, perpustakaan, lapangan basket, pramuka, musik katolik 968170 7666964",0.083129929,www.smanusantara143.sch.id
SMA Nusantara 122,Jl. Mawar No.2,Grogol Petamburan,Jakarta Barat,SMA,Nasional,Kurikulum Merdeka,1989622,13441785,Jepang,A,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Budha,Debat Nasional,Tidak Ada,022-7654321,"bandung bali smp nasional a ruang musik, ruang seni futsal, tari, robotik budha 1989622 13441785",0,www.smanusantara122.sch.id
Sekolah Harapan Bangsa 97,Jl. Merdeka No.10,Cipayung,Jakarta Timur,SMP,Internasional,IB,1529782,17246281,Mandarin,B,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Hindu,Juara 1 OSN,Antar Jemput Pribadi,0274-998877,"surabaya di yogyakarta tk internasional b ruang musik, ruang seni basket, pramuka, musik hindu 1529782 17246281",0.032564916,www.sekolahharapanbangsa97.sch.id
TK Ceria 242,Jl. Sudirman No.25,Pasar Minggu,Jakarta Selatan,TK,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,A,"Kolam Renang, Aula","Basket, Pramuka, Musik",Islam,Olimpiade Matematika,Bus Sekolah,0361-556677,"yogyakarta dki jakarta smp negeri a kolam renang, aula basket, pramuka, musik katolik 1498415 9598500",0.076030305,www.tkceria242.sch.id
TK Ceria 265,Jl. Mawar No.2,Pantai Indah Kapuk,Jakarta Utara,TK,Nasional Plus,Kurikulum 2013,1863245,6448659,Jepang,C,"Kolam Renang, Aula","Pencak Silat, KIR",Hindu,Lomba Tari Provinsi,Tidak Ada,022-7654321,"denpasar jawa timur tk nasional plus c kolam renang, aula pencak silat, kir hindu 1863245 6448659",0,www.tkceria265.sch.id
Sekolah Harapan Bangsa 225,Jl. Mawar No.2,Mampang Prapatan,Jakarta Selatan,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,A,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Juara 1 OSN,Antar Jemput Pribadi,021-1234567,"yogyakarta bali smp negeri a lab komputer, perpustakaan, lapangan pencak silat, kir katolik 2576451 3870727",0.050882548,www.sekolahharapanbangsa225.sch.id
Sekolah Harapan Bangsa 183,Jl. Gatot Subroto No.15,Pantai Indah Kapuk,Jakarta Utara,SMA,Nasional Plus,Kurikulum Merdeka,2282535,11386449,Jepang,A,"Kolam Renang, Aula","Pencak Silat, KIR",Kristen,Juara 1 OSN,Tidak Ada,0274-998877,"denpasar dki jakarta sd nasional plus a kolam renang, aula pencak silat, kir kristen 2282535 11386449",0.040959864,www.sekolahharapanbangsa183.sch.id
TK Ceria 292,Jl. Sudirman No.25,Pulo Gadung,Jakarta Timur,TK,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Islam,Lomba Tari Provinsi,Antar Jemput Pribadi,0274-998877,"denpasar bali sma negeri c kolam renang, aula futsal, tari, robotik katolik 1944629 9385057",0.021728273,www.tkceria292.sch.id
SMP Pelita Ilmu 44,Jl. Gatot Subroto No.15,Pantai Indah Kapuk,Jakarta Utara,SMP,Internasional,Cambridge,1066390,16019636,Bahasa Inggris,A,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Islam,Debat Nasional,Bus Sekolah,0274-998877,"denpasar jawa timur sd internasional a ruang musik, ruang seni pencak silat, kir islam 1066390 16019636",0.028781489,www.smppelitailmu44.sch.id
Sekolah Harapan Bangsa 292,Jl. Mawar No.2,Sawah Besar,Jakarta Pusat,SMA,Internasional,IB,2885785,16048468,Bahasa Inggris,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Kristen,Lomba Tari Provinsi,Bus Sekolah,031-8765432,"yogyakarta bali sma internasional c kolam renang, aula futsal, tari, robotik kristen 2885785 16048468",0.021882589,www.sekolahharapanbangsa292.sch.id
Sekolah Harapan Bangsa 295,Jl. Mawar No.2,Kemayoran,Jakarta Pusat,SMP,Nasional,IB,271150,16203586,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Kristen,Olimpiade Matematika,Antar Jemput Pribadi,021-1234567,"jakarta selatan bali smp nasional b lab komputer, perpustakaan, lapangan basket, pramuka, musik kristen 271150 16203586",0.099997945,www.sekolahharapanbangsa295.sch.id
SMA Nusantara 286,Jl. Gatot Subroto No.15,Kelapa Gading,Jakarta Utara,SMA,Internasional,IB,1241485,19925600,Bahasa Inggris,B,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Tidak Ada,Lomba Tari Provinsi,Antar Jemput Pribadi,021-1234567,"jakarta selatan bali smp internasional b lab komputer, perpustakaan, lapangan futsal, tari, robotik tidak ada 1241485 19925600",0.064180066,www.smanusantara286.sch.id
TK Ceria 203,Jl. Sudirman No.25,Pademangan,Jakarta Utara,TK,Internasional,Cambridge,125662,11291691,Bahasa Inggris,A,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Katolik,Olimpiade Matematika,Antar Jemput Pribadi,022-7654321,"jakarta selatan di yogyakarta sd internasional a lab komputer, perpustakaan, lapangan basket, pramuka, musik katolik 125662 11291691",0.098368526,www.tkceria203.sch.id
Sekolah Harapan Bangsa 194,Jl. Raya Ujung,Mampang Prapatan,Jakarta Selatan,SMP,Internasional,Cambridge,1561418,11554269,Bahasa Inggris,C,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Hindu,Debat Nasional,Antar Jemput Pribadi,022-7654321,"jakarta selatan dki jakarta tk internasional c ruang musik, ruang seni basket, pramuka, musik hindu 1561418 11554269",0.08491626,www.sekolahharapanbangsa194.sch.id
SMA Nusantara 161,Jl. Mawar No.2,Sawah Besar,Jakarta Pusat,SMA,Internasional,IB,348373,5364702,Bahasa Inggris,C,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Islam,Debat Nasional,Antar Jemput Pribadi,021-1234567,"jakarta selatan bali smp internasional c ruang musik, ruang seni pencak silat, kir islam 348373 5364702",0.044004393,www.smanusantara161.sch.id
SD Bintang Timur 125,Jl. Sudirman No.25,Gambir,Jakarta Pusat,SD,Internasional,Cambridge,2057651,8476444,Bahasa Inggris,C,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Katolik,Juara 1 OSN,Bus Sekolah,031-8765432,"denpasar jawa barat sma internasional c ruang musik, ruang seni pencak silat, kir katolik 2057651 8476444",0.020902614,www.sdbintangtimur125.sch.id
SMP Pelita Ilmu 162,Jl. Raya Ujung,Pademangan,Jakarta Utara,SMP,Nasional Plus,Kurikulum Merdeka,1032025,12294376,Jepang,A,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Hindu,Debat Nasional,Tidak Ada,022-7654321,"jakarta selatan jawa barat sd nasional plus a lab komputer, perpustakaan, lapangan futsal, tari, robotik hindu 1032025 12294376",0.064322979,www.smppelitailmu162.sch.id
SMA Nusantara 163,Jl. Gatot Subroto No.15,Tanjung Priok,Jakarta Utara,SMA,Internasional,Cambridge,949627,11127378,Bahasa Inggris,B,"Kolam Renang, Aula","Basket, Pramuka, Musik",Islam,Debat Nasional,Bus Sekolah,022-7654321,"yogyakarta jawa barat smp internasional b kolam renang, aula basket, pramuka, musik islam 949627 11127378",0.064326858,www.smanusantara163.sch.id
Sekolah Harapan Bangsa 54,Jl. Raya Ujung,Tambora,Jakarta Barat,SD,Nasional,Cambridge,716185,9913778,Bahasa Inggris,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Hindu,Debat Nasional,Bus Sekolah,031-8765432,"surabaya jawa barat sd nasional c kolam renang, aula futsal, tari, robotik hindu 716185 9913778",0,www.sekolahharapanbangsa54.sch.id
SMP Pelita Ilmu 82,Jl. Merdeka No.10,Pademangan,Jakarta Utara,SMP,Internasional,IB,2419290,10628309,Bahasa Inggris,A,"Kolam Renang, Aula","Futsal, Tari, Robotik",Budha,Juara 1 OSN,Antar Jemput Pribadi,021-1234567,"denpasar jawa timur tk internasional a kolam renang, aula futsal, tari, robotik budha 2419290 10628309",0,www.smppelitailmu82.sch.id
TK Ceria 85,Jl. Sudirman No.25,Setiabudi,Jakarta Selatan,TK,Nasional,IB,983903,4929148,Mandarin,A,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Kristen,Olimpiade Matematika,Tidak Ada,0274-998877,"bandung di yogyakarta sd nasional a lab komputer, perpustakaan, lapangan futsal, tari, robotik kristen 983903 4929148",0.050207834,www.tkceria85.sch.id
SD Bintang Timur 175,Jl. Sudirman No.25,Gambir,Jakarta Pusat,SD,Nasional,Cambridge,275600,9714709,Bahasa Indonesia,C,"Kolam Renang, Aula","Basket, Pramuka, Musik",Islam,Olimpiade Matematika,Tidak Ada,0274-998877,"surabaya bali sma nasional c kolam renang, aula basket, pramuka, musik islam 275600 9714709",0.087004062,www.sdbintangtimur175.sch.id
SMA Nusantara 60,Jl. Mawar No.2,Jagakarsa,Jakarta Selatan,SMA,Nasional,IB,2079373,13470182,Bahasa Inggris,C,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Tidak Ada,Debat Nasional,Bus Sekolah,0361-556677,"yogyakarta jawa barat sma nasional c lab komputer, perpustakaan, lapangan basket, pramuka, musik tidak ada 2079373 13470182",0.104587375,www.smanusantara60.sch.id
TK Ceria 259,Jl. Raya Ujung,Tanah Abang,Jakarta Pusat,TK,Nasional,IB,1656205,5024044,Mandarin,A,"Kolam Renang, Aula","Futsal, Tari, Robotik",Budha,Olimpiade Matematika,Tidak Ada,021-1234567,"surabaya jawa timur sd nasional a kolam renang, aula futsal, tari, robotik budha 1656205 5024044",0,www.tkceria259.sch.id
Sekolah Harapan Bangsa 57,Jl. Merdeka No.10,Tanah Abang,Jakarta Pusat,SD,Nasional,IB,1729338,19842351,Jepang,A,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Budha,Lomba Tari Provinsi,Tidak Ada,021-1234567,"bandung jawa timur sma nasional a ruang musik, ruang seni basket, pramuka, musik budha 1729338 19842351",0.053585057,www.sekolahharapanbangsa57.sch.id
SMP Pelita Ilmu 199,Jl. Mawar No.2,Pasar Rebo,Jakarta Timur,SMP,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Islam,Olimpiade Matematika,Antar Jemput Pribadi,0361-556677,"bandung jawa barat sma negeri c ruang musik, ruang seni basket, pramuka, musik islam 1132114 18445595",0.081857101,www.smppelitailmu199.sch.id
SD Bintang Timur 97,Jl. Gatot Subroto No.15,Kemayoran,Jakarta Pusat,SD,Nasional,Cambridge,647772,625824,Bahasa Inggris,C,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Budha,Olimpiade Matematika,Tidak Ada,022-7654321,"bandung di yogyakarta sd nasional c lab komputer, perpustakaan, lapangan basket, pramuka, musik budha 647772 625824",0.08433144,www.sdbintangtimur97.sch.id
SMA Nusantara 145,Jl. Raya Ujung,Sawah Besar,Jakarta Pusat,SMA,Nasional Plus,Cambridge,341699,4990312,Bahasa Inggris,B,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Katolik,Olimpiade Matematika,Tidak Ada,0274-998877,"bandung di yogyakarta smp nasional plus b ruang musik, ruang seni pencak silat, kir katolik 341699 4990312",0,www.smanusantara145.sch.id
SD Bintang Timur 273,Jl. Raya Ujung,Senen,Jakarta Pusat,SD,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,C,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Islam,Olimpiade Matematika,Bus Sekolah,021-1234567,"bandung jawa barat smp negeri c ruang musik, ruang seni futsal, tari, robotik budha 2102479 5784598",0,www.sdbintangtimur273.sch.id
TK Ceria 123,Jl. Mawar No.2,Kalideres,Jakarta Barat,TK,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,B,"Kolam Renang, Aula","Pencak Silat, KIR",Islam,Olimpiade Matematika,Antar Jemput Pribadi,0274-998877,"yogyakarta bali sd negeri b kolam renang, aula pencak silat, kir tidak ada 2888054 11128182",0,www.tkceria123.sch.id
TK Ceria 239,Jl. Raya Ujung,Pasar Rebo,Jakarta Timur,TK,Internasional,IB,957257,18754690,Bahasa Inggris,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Lomba Tari Provinsi,Antar Jemput Pribadi,031-8765432,"denpasar bali smp internasional b lab komputer, perpustakaan, lapangan pencak silat, kir islam 957257 18754690",0.080205615,www.tkceria239.sch.id
SMA Nusantara 190,Jl. Sudirman No.25,Penjaringan,Jakarta Utara,SMA,Internasional,Cambridge,1176006,661349,Bahasa Inggris,C,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Katolik,Olimpiade Matematika,Bus Sekolah,0361-556677,"surabaya jawa timur tk internasional c lab komputer, perpustakaan, lapangan pencak silat, kir katolik 1176006 661349",0.049959066,www.smanusantara190.sch.id
SD Bintang Timur 85,Jl. Gatot Subroto No.15,Pesanggrahan,Jakarta Selatan,SD,Nasional Plus,IB,611933,8241824,Bahasa Inggris,A,"Ruang Musik, Lapangan","Futsal, Pramuka, Tari",Budha,Juara 1 OSN,Antar Jemput Pribadi,022-7654321,"bandung jawa timur smp nasional plus c lab komputer, perpustakaan, lapangan futsal, tari, robotik kristen 611933 8241824",0.049439913,www.sdbintangtimur85.sch.id
SMA Nusantara 239,Jl. Mawar No.2,Kemayoran,Jakarta Pusat,SMA,Internasional,IB,2876101,18638198,Bahasa Inggris,A,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Katolik,Debat Nasional,Bus Sekolah,022-7654321,"jakarta selatan di yogyakarta sd internasional a lab komputer, perpustakaan, lapangan basket, pramuka, musik katolik 2876101 18638198",0.098368526,www.smanusantara239.sch.id
SMP Pelita Ilmu 260,Jl. Raya Ujung,Penjaringan,Jakarta Utara,SMP,Nasional Plus,IB,2901985,11661091,Jepang,B,"Ruang Musik, Lapangan","Pencak Silat, KIR",Katolik,Olimpiade Matematika,Bus Sekolah,0361-556677,"jakarta selatan jawa timur sd nasional plus b lab komputer, perpustakaan, lapangan pencak silat, kir katolik 2901985 11661091",0.064263975,www.smppelitailmu260.sch.id
SMA Nusantara 70,Jl. Sudirman No.25,Tebet,Jakarta Selatan,SMA,Internasional,Cambridge,1966332,16033717,Bahasa Inggris,C,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Tidak Ada,Lomba Tari Provinsi,Bus Sekolah,0361-556677,"jakarta selatan dki jakarta tk internasional c ruang musik, ruang seni basket, pramuka, musik tidak ada 1966332 16033717",0.083413071,www.smanusantara70.sch.id
